count,left,right
1,-16.488893311519078,-15.320073780838205
0,-15.320073780838205,-14.151254250157333
3,-14.151254250157333,-12.982434719476462
4,-12.982434719476462,-11.813615188795588
1,-11.813615188795588,-10.644795658114717
6,-10.644795658114717,-9.475976127433844
13,-9.475976127433844,-8.307156596752971
7,-8.307156596752971,-7.138337066072099
13,-7.138337066072099,-5.969517535391226
21,-5.969517535391226,-4.800698004710354
26,-4.800698004710354,-3.631878474029481
18,-3.631878474029481,-2.46305894334861
24,-2.46305894334861,-1.2942394126677375
21,-1.2942394126677375,-0.12541988198686482
15,-0.12541988198686482,1.0433996486940096
9,1.0433996486940096,2.2122191793748804
10,2.2122191793748804,3.3810387100557513
3,3.3810387100557513,4.549858240736626
3,4.549858240736626,5.718677771417497
2,5.718677771417497,6.887497302098371
