count,left,right
12,1.8049682981249457,2.8647248222785935
20,2.8647248222785935,3.924481346432241
21,3.924481346432241,4.984237870585888
24,4.984237870585888,6.043994394739536
26,6.043994394739536,7.1037509188931836
29,7.1037509188931836,8.16350744304683
18,8.16350744304683,9.223263967200477
14,9.223263967200477,10.283020491354126
9,10.283020491354126,11.342777015507773
7,11.342777015507773,12.402533539661421
7,12.402533539661421,13.462290063815068
4,13.462290063815068,14.522046587968715
3,14.522046587968715,15.581803112122364
1,15.581803112122364,16.64155963627601
1,16.64155963627601,17.70131616042966
0,17.70131616042966,18.761072684583304
0,18.761072684583304,19.820829208736953
0,19.820829208736953,20.8805857328906
2,20.8805857328906,21.94034225704425
2,21.94034225704425,23.0000987811979
